"spot","x","y","count","avgSeconds","medianSeconds","totalSeconds","radiantCount","radiantTotal","direCount","direTotal"
"94,120","94","120","147","180","154","26394","74","14398","73","11996"
"118,94","118","94","117","208","211","24318","66","15618","51","8700"
"136,156","136","156","110","220","229","24178","55","11446","55","12732"
"164,134","164","134","92","220","221","20283","53","12594","39","7689"
"152,96","152","96","39","315","360","12279","29","8723","10","3556"
"64,176","64","176","33","307","360","10139","10","2970","23","7169"
"136,108","136","108","33","296","360","9757","30","8998","3","759"
"134,112","134","112","30","333","360","9993","24","7864","6","2129"
"116,144","116","144","30","266","360","7989","12","3292","18","4697"
"90,146","90","146","27","256","360","6902","13","4018","14","2884"
"194,82","194","82","23","348","360","8008","10","3328","13","4680"
"174,72","174","72","23","327","360","7521","9","3028","14","4493"
"154,74","154","74","22","231","244","5075","12","2411","10","2664"
"150,116","150","116","21","267","360","5609","8","2422","13","3187"
"128,146","128","146","20","300","360","6000","17","5266","3","734"
"144,62","144","62","20","279","360","5584","10","2999","10","2585"
"142,102","142","102","19","325","360","6183","10","3153","9","3030"
"116,142","116","142","19","283","360","5375","6","1646","13","3729"
"193,82","193","82","17","310","360","5264","14","4333","3","931"
"126,108","126","108","16","344","360","5510","1","248","15","5262"
"104,132","104","132","16","155","97","2485","8","1024","8","1461"
"144,122","144","122","15","313","360","4690","2","720","13","3970"
"106,120","106","120","14","216","258","3028","2","688","12","2340"
"120,138","120","138","14","210","251","2933","3","349","11","2584"
"166,110","166","110","13","351","360","4569","9","3240","4","1329"
"74,180","74","180","13","338","360","4395","7","2235","6","2160"
"110,130","110","130","13","287","360","3731","8","2259","5","1472"
"131,110","131","110","13","234","360","3046","6","1074","7","1972"
"126,120","126","120","12","312","360","3738","7","2142","5","1596"
"128,110","128","110","12","292","360","3505","5","1240","7","2265"
"118,188","118","188","11","331","360","3645","7","2420","4","1225"
"100,136","100","136","11","283","360","3117","8","2261","3","856"
"144,72","144","72","11","265","360","2914","2","624","9","2290"
"108,145","108","145","11","255","360","2804","5","1334","6","1470"
"70,128","70","128","11","195","160","2140","5","1191","6","949"
"75,192","75","192","10","302","360","3021","2","720","8","2301"
"114,130","114","130","10","287","324","2873","6","1902","4","971"
"86,116","86","116","10","281","360","2808","3","877","7","1931"
"88,132","88","132","10","272","360","2717","4","1351","6","1366"
"129,110","129","110","10","242","296","2416","3","718","7","1698"
"102,134","102","134","10","233","244","2331","3","662","7","1669"
"162,102","162","102","9","360","360","3240","9","3240","0","0"
"71,154","71","154","9","317","360","2853","0","0","9","2853"
"194,81","194","81","9","312","360","2812","7","2092","2","720"
"125,146","125","146","9","275","360","2473","4","1440","5","1033"
"63,176","63","176","9","236","360","2127","6","1326","3","801"
"185,65","185","65","8","332","360","2652","2","720","6","1932"
"98,156","98","156","8","325","360","2599","1","360","7","2239"
"116,188","116","188","8","307","360","2459","2","607","6","1852"
"106,186","106","186","8","280","360","2242","7","1960","1","282"
"113,130","113","130","8","272","360","2173","4","733","4","1440"
"102,160","102","160","8","263","360","2101","6","1381","2","720"
"138,124","138","124","8","262","322","2092","0","0","8","2092"
"168,125","168","125","8","229","228","1834","8","1834","0","0"
"129,97","129","97","8","215","200","1720","5","962","3","758"
"103,133","103","133","8","151","122","1205","3","656","5","549"
"99,157","99","157","7","360","360","2520","1","360","6","2160"
"115,149","115","149","7","356","360","2494","3","1080","4","1414"
"96,184","96","184","7","354","360","2480","5","1800","2","680"
"126,146","126","146","7","338","360","2364","0","0","7","2364"
"82,191","82","191","7","331","360","2315","6","1970","1","345"
"102,161","102","161","7","324","360","2269","1","360","6","1909"
"75,191","75","191","7","297","360","2080","3","983","4","1097"
"180,103","180","103","7","294","360","2055","7","2055","0","0"
"70,154","70","154","7","263","360","1839","0","0","7","1839"
"128,98","128","98","7","259","283","1812","4","914","3","898"
"126,157","126","157","7","198","197","1388","3","468","4","920"
"107,170","107","170","6","360","360","2160","0","0","6","2160"
"184,93","184","93","6","360","360","2160","6","2160","0","0"
"158,72","158","72","6","360","360","2160","0","0","6","2160"
"142,122","142","122","6","350","360","2100","0","0","6","2100"
"146,98","146","98","6","324","360","1946","5","1800","1","146"
"130,145","130","145","6","322","360","1933","6","1933","0","0"
"119,139","119","139","6","313","360","1879","4","1159","2","720"
"134,80","134","80","6","310","360","1857","1","360","5","1497"
"141,147","141","147","6","287","360","1721","6","1721","0","0"
"97,183","97","183","6","280","298","1678","6","1678","0","0"
"137,124","137","124","6","266","360","1598","1","360","5","1238"
"170,90","170","90","6","264","360","1582","3","502","3","1080"
"72,154","72","154","6","254","360","1527","0","0","6","1527"
"67,126","67","126","6","252","292","1510","3","793","3","717"
"89,133","89","133","6","251","308","1504","1","360","5","1144"
"111,130","111","130","6","249","360","1493","5","1476","1","17"
"112,130","112","130","6","243","315","1456","3","744","3","712"
"76,192","76","192","6","231","300","1386","4","691","2","695"
"138,104","138","104","6","225","253","1352","0","0","6","1352"
"113,151","113","151","6","211","229","1267","6","1267","0","0"
"124,130","124","130","6","200","217","1200","3","406","3","794"
"148,118","148","118","6","157","87","942","5","909","1","33"
"143,101","143","101","5","360","360","1800","2","720","3","1080"
"110,173","110","173","5","360","360","1800","5","1800","0","0"
"178,74","178","74","5","356","360","1779","4","1440","1","339"
"129,118","129","118","5","350","360","1749","3","1080","2","669"
"180,75","180","75","5","342","360","1712","4","1352","1","360"
"82,192","82","192","5","334","360","1669","3","949","2","720"
"89,146","89","146","5","333","360","1664","5","1664","0","0"
"196,124","196","124","5","329","360","1647","5","1647","0","0"
"73,154","73","154","5","328","360","1641","0","0","5","1641"
"89,132","89","132","5","327","360","1634","2","554","3","1080"
"64,146","64","146","5","321","360","1607","1","167","4","1440"
"142,74","142","74","5","316","360","1581","0","0","5","1581"
"74,192","74","192","5","300","360","1498","1","360","4","1138"
"95,184","95","184","5","290","360","1450","4","1090","1","360"
"147,119","147","119","5","282","360","1408","5","1408","0","0"
"151,116","151","116","5","276","360","1378","1","19","4","1359"
"122,137","122","137","5","265","360","1326","0","0","5","1326"
"65,176","65","176","5","264","360","1321","2","720","3","601"
"184,80","184","80","5","250","360","1252","1","360","4","892"
"124,132","124","132","5","248","360","1238","2","158","3","1080"
"134,114","134","114","5","233","360","1167","3","743","2","424"
"179,75","179","75","5","197","187","983","3","564","2","419"
"107,184","107","184","5","194","199","968","5","968","0","0"
"111,105","111","105","5","162","64","812","0","0","5","812"
"110,182","110","182","4","360","360","1440","3","1080","1","360"
"97,184","97","184","4","360","360","1440","2","720","2","720"
"98,184","98","184","4","360","360","1440","1","360","3","1080"
"91,154","91","154","4","360","360","1440","0","0","4","1440"
"130,126","130","126","4","360","360","1440","2","720","2","720"
"180,67","180","67","4","360","360","1440","3","1080","1","360"
"181,76","181","76","4","360","360","1440","3","1080","1","360"
"154,66","154","66","4","350","360","1401","3","1041","1","360"
"113,152","113","152","4","349","360","1397","3","1037","1","360"
"73,179","73","179","4","340","360","1361","1","281","3","1080"
"118,172","118","172","4","334","360","1334","3","1080","1","254"
"138,125","138","125","4","327","360","1307","2","587","2","720"
"138,70","138","70","4","313","360","1252","3","1080","1","172"
"107,185","107","185","4","302","333","1210","4","1210","0","0"
"134,81","134","81","4","301","304","1203","0","0","4","1203"
"115,152","115","152","4","297","343","1188","0","0","4","1188"
"164,113","164","113","4","292","360","1170","3","810","1","360"
"132,96","132","96","4","290","360","1158","2","720","2","438"
"122,122","122","122","4","290","360","1158","2","438","2","720"
"108,144","108","144","4","289","360","1157","2","720","2","437"
"118,174","118","174","4","287","360","1147","3","787","1","360"
"117,84","117","84","4","286","360","1143","3","783","1","360"
"182,67","182","67","4","280","360","1120","3","1080","1","40"
"142,89","142","89","4","278","360","1112","1","360","3","752"
"82,190","82","190","4","278","360","1111","2","720","2","391"
"117,158","117","158","4","278","328","1111","2","391","2","720"
"186,64","186","64","4","277","360","1107","3","747","1","360"
"146,84","146","84","4","276","360","1105","3","745","1","360"
"155,74","155","74","4","272","360","1087","2","367","2","720"
"136,86","136","86","4","254","309","1015","2","295","2","720"
"115,151","115","151","4","252","321","1010","0","0","4","1010"
"140,91","140","91","4","248","262","992","2","468","2","524"
"85,117","85","117","4","248","301","992","1","360","3","632"
"191,134","191","134","4","245","259","981","2","462","2","519"
"122,158","122","158","4","245","247","980","3","620","1","360"
"134,76","134","76","4","240","249","962","3","859","1","103"
"131,132","131","132","4","232","280","926","0","0","4","926"
"184,66","184","66","4","224","228","896","2","720","2","176"
"124,131","124","131","4","213","204","851","1","315","3","536"
"126,158","126","158","4","207","216","828","4","828","0","0"
"102,159","102","159","4","192","202","770","4","770","0","0"
"121,138","121","138","4","188","189","753","1","14","3","739"
"109,130","109","130","4","188","193","751","2","31","2","720"
"100,80","100","80","4","162","163","650","3","584","1","66"
"79,169","79","169","4","136","66","544","1","360","3","184"
"124,146","124","146","3","360","360","1080","1","360","2","720"
"183,94","183","94","3","360","360","1080","3","1080","0","0"
"118,107","118","107","3","360","360","1080","2","720","1","360"
"185,66","185","66","3","360","360","1080","1","360","2","720"
"98,138","98","138","3","360","360","1080","3","1080","0","0"
"104,126","104","126","3","360","360","1080","2","720","1","360"
"73,166","73","166","3","360","360","1080","1","360","2","720"
"91,134","91","134","3","360","360","1080","0","0","3","1080"
"94,142","94","142","3","360","360","1080","2","720","1","360"
"73,160","73","160","3","360","360","1080","0","0","3","1080"
"118,120","118","120","3","360","360","1080","3","1080","0","0"
"92,144","92","144","3","360","360","1080","1","360","2","720"
"192,82","192","82","3","360","360","1080","2","720","1","360"
"185,64","185","64","3","360","360","1080","0","0","3","1080"
"120,122","120","122","3","360","360","1080","3","1080","0","0"
"122,138","122","138","3","360","360","1080","0","0","3","1080"
"128,165","128","165","3","360","360","1080","0","0","3","1080"
"130,110","130","110","3","344","360","1032","2","672","1","360"
"68,118","68","118","3","338","360","1013","3","1013","0","0"
"96,155","96","155","3","329","360","986","2","720","1","266"
"183,67","183","67","3","317","360","951","1","231","2","720"
"70,117","70","117","3","316","360","949","1","229","2","720"
"118,63","118","63","3","316","360","949","0","0","3","949"
"148,163","148","163","3","314","360","941","0","0","3","941"
"114,129","114","129","3","305","360","914","1","194","2","720"
"149,126","149","126","3","305","360","916","1","360","2","556"
"74,160","74","160","3","305","360","916","0","0","3","916"
"101,126","101","126","3","301","360","903","3","903","0","0"
"89,183","89","183","3","297","348","890","2","542","1","348"
"93,167","93","167","3","278","360","835","1","360","2","475"
"94,184","94","184","3","277","360","831","1","111","2","720"
"114,150","114","150","3","276","360","828","1","360","2","468"
"123,146","123","146","3","276","360","829","3","829","0","0"
"152,90","152","90","3","273","360","820","2","460","1","360"
"102,133","102","133","3","265","295","795","2","500","1","295"
"92,154","92","154","3","260","360","781","0","0","3","781"
"168,107","168","107","3","258","360","774","1","360","2","414"
"62,176","62","176","3","257","206","772","0","0","3","772"
"133,114","133","114","3","255","360","765","2","720","1","45"
"130,96","130","96","3","254","360","761","1","360","2","401"
"126,89","126","89","3","253","360","759","1","360","2","399"
"111,104","111","104","3","251","360","752","1","32","2","720"
"154,77","154","77","3","251","360","754","0","0","3","754"
"91,135","91","135","3","248","340","743","0","0","3","743"
"109,144","109","144","3","248","360","744","0","0","3","744"
"110,129","110","129","3","248","360","743","1","23","2","720"
"128,118","128","118","3","246","344","739","2","379","1","360"
"170,91","170","91","3","246","360","738","2","378","1","360"
"168,126","168","126","3","245","248","736","1","360","2","376"
"188,110","188","110","3","245","360","734","2","374","1","360"
"126,140","126","140","3","243","360","729","1","9","2","720"
"80,168","80","168","3","243","360","730","1","360","2","370"
"174,88","174","88","3","243","360","729","2","369","1","360"
"110,176","110","176","3","242","360","725","3","725","0","0"
"160,120","160","120","3","242","360","726","0","0","3","726"
"69,143","69","143","3","241","360","724","0","0","3","724"
"83,166","83","166","3","240","320","719","1","320","2","399"
"190,132","190","132","3","239","351","716","2","711","1","5"
"100,87","100","87","3","238","286","714","0","0","3","714"
"86,148","86","148","3","234","232","701","1","232","2","469"
"108,117","108","117","3","215","198","644","1","198","2","446"
"183,66","183","66","3","211","258","634","2","618","1","16"
"105,119","105","119","3","205","250","616","0","0","3","616"
"114,162","114","162","3","204","177","611","2","251","1","360"
"139,103","139","103","3","202","181","607","1","360","2","247"
"122,146","122","146","3","199","222","596","3","596","0","0"
"138,92","138","92","3","198","211","594","2","234","1","360"
"72,178","72","178","3","190","157","571","1","54","2","517"
"148,117","148","117","3","187","132","560","2","492","1","68"
"95,97","95","97","3","186","182","558","2","297","1","261"
"152,129","152","129","3","168","87","503","1","56","2","447"
"150,72","150","72","3","167","117","500","1","23","2","477"
"144,120","144","120","3","163","107","490","1","23","2","467"
"167,150","167","150","3","163","125","489","2","364","1","125"
"127,110","127","110","3","163","68","490","1","360","2","130"
"87,101","87","101","3","161","108","483","1","360","2","123"
"131,97","131","97","3","158","199","475","2","213","1","262"
"139,92","139","92","3","154","150","463","0","0","3","463"
"100,135","100","135","3","152","63","457","0","0","3","457"
"126,128","126","128","3","145","56","435","1","56","2","379"
"110,166","110","166","3","130","71","390","2","96","1","294"
"178,88","178","88","3","129","16","388","2","376","1","12"
"124,134","124","134","3","128","13","383","0","0","3","383"
"68,119","68","119","3","117","83","352","3","352","0","0"
"119,124","119","124","3","94","74","283","2","209","1","74"
"79,104","79","104","3","81","85","243","2","232","1","11"
"126,119","126","119","3","81","69","244","2","72","1","172"
"84,90","84","90","2","360","360","720","0","0","2","720"
"178,96","178","96","2","360","360","720","2","720","0","0"
"187,111","187","111","2","360","360","720","2","720","0","0"
"87,146","87","146","2","360","360","720","2","720","0","0"
"135,186","135","186","2","360","360","720","1","360","1","360"
"171,88","171","88","2","360","360","720","2","720","0","0"
"112,62","112","62","2","360","360","720","0","0","2","720"
"118,175","118","175","2","360","360","720","2","720","0","0"
"164,112","164","112","2","360","360","720","2","720","0","0"
"175,92","175","92","2","360","360","720","0","0","2","720"
"140,147","140","147","2","360","360","720","2","720","0","0"
"106,185","106","185","2","360","360","720","2","720","0","0"
"105,137","105","137","2","360","360","720","1","360","1","360"
"141,89","141","89","2","360","360","720","0","0","2","720"
"146,89","146","89","2","360","360","720","1","360","1","360"
"144,114","144","114","2","360","360","720","0","0","2","720"
"120,124","120","124","2","360","360","720","2","720","0","0"
"117,73","117","73","2","360","360","720","0","0","2","720"
"108,125","108","125","2","360","360","720","0","0","2","720"
"76,190","76","190","2","360","360","720","0","0","2","720"
"110,140","110","140","2","360","360","720","2","720","0","0"
"126,139","126","139","2","360","360","720","1","360","1","360"
"123,158","123","158","2","360","360","720","1","360","1","360"
"123,104","123","104","2","360","360","720","0","0","2","720"
"122,157","122","157","2","360","360","720","1","360","1","360"
"71,161","71","161","2","360","360","720","0","0","2","720"
"147,118","147","118","2","360","360","720","1","360","1","360"
"110,164","110","164","2","360","360","720","1","360","1","360"
"183,112","183","112","2","360","360","720","2","720","0","0"
"179,96","179","96","2","360","360","720","1","360","1","360"
"80,167","80","167","2","360","360","720","2","720","0","0"
"84,152","84","152","2","360","360","720","1","360","1","360"
"120,111","120","111","2","360","360","720","0","0","2","720"
"112,163","112","163","2","360","360","720","2","720","0","0"
"175,82","175","82","2","360","360","720","1","360","1","360"
"76,150","76","150","2","360","360","720","0","0","2","720"
"174,89","174","89","2","360","360","720","2","720","0","0"
"78,166","78","166","2","360","360","720","1","360","1","360"
"105,162","105","162","2","360","360","720","2","720","0","0"
"73,165","73","165","2","360","360","720","1","360","1","360"
"174,104","174","104","2","360","360","720","2","720","0","0"
"97,156","97","156","2","360","360","720","0","0","2","720"
"99,177","99","177","2","360","360","720","0","0","2","720"
"184,65","184","65","2","360","360","720","2","720","0","0"
"128,100","128","100","2","360","360","720","1","360","1","360"
"186,90","186","90","2","360","360","720","1","360","1","360"
"75,160","75","160","2","360","360","720","0","0","2","720"
"169,90","169","90","2","360","360","720","1","360","1","360"
"152,92","152","92","2","360","360","720","0","0","2","720"
"121,146","121","146","2","360","360","720","2","720","0","0"
"161,85","161","85","2","360","360","720","1","360","1","360"
"175,118","175","118","2","360","360","720","2","720","0","0"
"120,109","120","109","2","360","360","720","2","720","0","0"
"126,138","126","138","2","360","360","720","1","360","1","360"
"109,143","109","143","2","360","360","720","0","0","2","720"
"85,116","85","116","2","360","360","720","0","0","2","720"
"175,83","175","83","2","360","360","720","0","0","2","720"
"92,182","92","182","2","360","360","720","2","720","0","0"
"80,149","80","149","2","360","360","720","2","720","0","0"
"82,172","82","172","2","360","360","720","1","360","1","360"
"62,130","62","130","2","360","360","720","1","360","1","360"
"134,77","134","77","2","360","360","720","1","360","1","360"
"72,166","72","166","2","360","360","720","0","0","2","720"
"101,130","101","130","2","360","360","720","2","720","0","0"
"120,62","120","62","2","360","360","720","1","360","1","360"
"144,90","144","90","2","360","360","720","1","360","1","360"
"162,72","162","72","2","360","360","720","0","0","2","720"
"147,85","147","85","2","360","360","720","0","0","2","720"
"146,90","146","90","2","360","360","720","1","360","1","360"
"119,107","119","107","2","360","360","720","1","360","1","360"
"86,140","86","140","2","360","360","720","0","0","2","720"
"132,144","132","144","2","360","360","720","1","360","1","360"
"109,181","109","181","2","360","360","720","1","360","1","360"
"117,72","117","72","2","360","360","720","0","0","2","720"
"148,72","148","72","2","360","360","720","1","360","1","360"
"147,84","147","84","2","360","360","720","0","0","2","720"
"132,113","132","113","2","360","360","720","2","720","0","0"
"167,109","167","109","2","360","360","720","1","360","1","360"
"132,116","132","116","2","360","360","720","1","360","1","360"
"98,157","98","157","2","360","360","720","0","0","2","720"
"159,72","159","72","2","360","360","720","0","0","2","720"
"191,82","191","82","2","360","360","720","2","720","0","0"
"168,109","168","109","2","360","360","720","1","360","1","360"
"74,190","74","190","2","360","360","720","0","0","2","720"
"155,136","155","136","2","360","360","720","1","360","1","360"
"74,191","74","191","2","360","360","720","2","720","0","0"
"72,141","72","141","2","360","360","720","1","360","1","360"
"152,73","152","73","2","360","360","720","0","0","2","720"
"128,188","128","188","2","360","360","720","1","360","1","360"
"139,126","139","126","2","360","360","720","2","720","0","0"
"169,72","169","72","2","360","360","720","1","360","1","360"
"102,162","102","162","2","360","360","720","1","360","1","360"
"117,118","117","118","2","360","360","720","2","720","0","0"
"66,178","66","178","2","360","360","720","2","720","0","0"
"152,138","152","138","2","360","360","720","2","720","0","0"
"108,183","108","183","2","360","360","720","2","720","0","0"
"107,143","107","143","2","360","360","720","0","0","2","720"
"72,162","72","162","2","360","360","720","0","0","2","720"
"110,174","110","174","2","360","360","720","2","720","0","0"
"131,145","131","145","2","359","359","718","2","718","0","0"
"145,168","145","168","2","352","352","705","2","705","0","0"
"141,134","141","134","2","349","349","698","2","698","0","0"
"124,133","124","133","2","347","347","694","1","334","1","360"
"159,119","159","119","2","346","346","692","2","692","0","0"
"118,125","118","125","2","337","337","674","2","674","0","0"
"104,127","104","127","2","336","336","672","1","312","1","360"
"171,90","171","90","2","336","335","671","1","360","1","311"
"90,134","90","134","2","336","336","672","0","0","2","672"
"111,106","111","106","2","332","332","665","0","0","2","665"
"108,184","108","184","2","332","332","665","2","665","0","0"
"121,180","121","180","2","326","325","651","1","360","1","291"
"129,131","129","131","2","326","325","651","1","291","1","360"
"110,171","110","171","2","322","322","645","2","645","0","0"
"93,163","93","163","2","321","321","642","1","360","1","282"
"120,121","120","121","2","318","318","637","1","277","1","360"
"127,128","127","128","2","312","312","625","1","265","1","360"
"121,137","121","137","2","310","309","619","1","259","1","360"
"118,66","118","66","2","306","306","613","2","613","0","0"
"92,135","92","135","2","304","304","608","0","0","2","608"
"96,183","96","183","2","304","304","609","2","609","0","0"
"151,128","151","128","2","296","296","593","1","360","1","233"
"132,192","132","192","2","296","296","592","1","232","1","360"
"80,136","80","136","2","294","294","589","1","229","1","360"
"80,186","80","186","2","293","293","586","0","0","2","586"
"93,142","93","142","2","288","288","577","2","577","0","0"
"106,140","106","140","2","288","288","576","2","576","0","0"
"122,147","122","147","2","287","287","574","2","574","0","0"
"70,118","70","118","2","282","282","565","1","205","1","360"
"89,182","89","182","2","282","282","564","1","204","1","360"
"70,119","70","119","2","280","280","561","0","0","2","561"
"122,178","122","178","2","279","279","558","2","558","0","0"
"147,135","147","135","2","278","278","557","2","557","0","0"
"114,152","114","152","2","278","278","556","0","0","2","556"
"128,128","128","128","2","277","277","554","0","0","2","554"
"159,120","159","120","2","276","276","553","1","360","1","193"
"193,126","193","126","2","276","275","551","1","191","1","360"
"126,129","126","129","2","272","271","543","2","543","0","0"
"86,115","86","115","2","272","272","545","1","185","1","360"
"167,72","167","72","2","271","271","542","1","360","1","182"
"131,144","131","144","2","270","269","539","2","539","0","0"
"194,108","194","108","2","268","267","535","1","175","1","360"
"102,91","102","91","2","267","267","534","2","534","0","0"
"121,179","121","179","2","265","265","530","2","530","0","0"
"192,133","192","133","2","262","262","525","0","0","2","525"
"138,62","138","62","2","261","261","522","2","522","0","0"
"125,138","125","138","2","258","258","517","2","517","0","0"
"137,86","137","86","2","256","255","511","0","0","2","511"
"107,142","107","142","2","254","254","508","2","508","0","0"
"140,90","140","90","2","253","253","506","2","506","0","0"
"125,140","125","140","2","253","253","506","1","146","1","360"
"126,164","126","164","2","252","252","505","1","360","1","145"
"70,142","70","142","2","252","251","503","0","0","2","503"
"155,135","155","135","2","251","251","502","2","502","0","0"
"135,193","135","193","2","250","250","500","1","360","1","140"
"136,94","136","94","2","249","249","498","0","0","2","498"
"127,118","127","118","2","249","249","498","1","142","1","356"
"69,105","69","105","2","247","247","494","0","0","2","494"
"182,66","182","66","2","245","245","490","1","360","1","130"
"108,68","108","68","2","244","244","488","2","488","0","0"
"121,140","121","140","2","243","243","486","0","0","2","486"
"186,75","186","75","2","242","242","485","2","485","0","0"
"114,151","114","151","2","241","241","482","0","0","2","482"
"98,183","98","183","2","240","239","479","1","360","1","119"
"138,102","138","102","2","238","238","477","1","117","1","360"
"168,108","168","108","2","234","233","467","1","107","1","360"
"120,65","120","65","2","234","233","467","0","0","2","467"
"127,91","127","91","2","231","231","462","1","360","1","102"
"87,116","87","116","2","226","226","453","1","93","1","360"
"127,164","127","164","2","226","226","453","1","360","1","93"
"129,144","129","144","2","226","225","451","2","451","0","0"
"73,141","73","141","2","226","226","452","1","92","1","360"
"98,155","98","155","2","225","225","450","0","0","2","450"
"190,134","190","134","2","221","221","442","0","0","2","442"
"118,191","118","191","2","219","219","438","1","78","1","360"
"86,102","86","102","2","218","218","436","0","0","2","436"
"141,185","141","185","2","218","218","436","0","0","2","436"
"182,120","182","120","2","218","217","435","2","435","0","0"
"128,65","128","65","2","218","218","436","1","76","1","360"
"186,65","186","65","2","216","215","431","1","360","1","71"
"187,110","187","110","2","216","216","433","2","433","0","0"
"118,126","118","126","2","216","216","433","2","433","0","0"
"118,158","118","158","2","214","213","427","0","0","2","427"
"71,142","71","142","2","214","213","427","1","67","1","360"
"166,150","166","150","2","214","214","429","2","429","0","0"
"174,119","174","119","2","210","210","420","2","420","0","0"
"130,97","130","97","2","208","208","417","1","360","1","57"
"132,166","132","166","2","203","203","406","2","406","0","0"
"86,151","86","151","2","202","202","405","1","45","1","360"
"176,89","176","89","2","201","201","402","0","0","2","402"
"142,116","142","116","2","200","199","399","0","0","2","399"
"111,111","111","111","2","199","199","398","0","0","2","398"
"176,94","176","94","2","198","198","396","1","36","1","360"
"152,89","152","89","2","198","197","395","1","35","1","360"
"171,89","171","89","2","198","197","395","2","395","0","0"
"94,169","94","169","2","197","197","394","1","360","1","34"
"162,125","162","125","2","196","195","391","1","31","1","360"
"111,165","111","165","2","196","195","391","1","31","1","360"
"101,175","101","175","2","196","196","393","1","360","1","33"
"167,92","167","92","2","195","195","390","2","390","0","0"
"78,170","78","170","2","194","194","388","2","388","0","0"
"155,131","155","131","2","193","193","386","2","386","0","0"
"77,134","77","134","2","193","193","386","0","0","2","386"
"114,68","114","68","2","192","191","383","0","0","2","383"
"128,106","128","106","2","192","192","385","1","360","1","25"
"117,148","117","148","2","192","192","384","1","360","1","24"
"182,75","182","75","2","192","192","385","0","0","2","385"
"194,126","194","126","2","190","189","379","2","379","0","0"
"118,184","118","184","2","190","190","381","2","381","0","0"
"184,88","184","88","2","188","188","376","2","376","0","0"
"136,107","136","107","2","185","185","370","0","0","2","370"
"93,175","93","175","2","185","185","370","2","370","0","0"
"88,184","88","184","2","184","184","369","2","369","0","0"
"93,166","93","166","2","184","183","367","2","367","0","0"
"91,166","91","166","2","184","183","367","1","7","1","360"
"126,154","126","154","2","183","183","366","1","360","1","6"
"137,104","137","104","2","182","182","365","1","5","1","360"
"111,129","111","129","2","181","181","362","2","362","0","0"
"150,127","150","127","2","172","172","345","2","345","0","0"
"125,132","125","132","2","170","170","340","0","0","2","340"
"90,133","90","133","2","160","160","320","1","47","1","273"
"116,159","116","159","2","156","156","313","1","175","1","138"
"112,104","112","104","2","153","153","306","0","0","2","306"
"142,139","142","139","2","150","150","300","1","66","1","234"
"112,162","112","162","2","149","149","298","1","93","1","205"
"168,94","168","94","2","149","149","298","0","0","2","298"
"101,135","101","135","2","147","147","294","0","0","2","294"
"101,134","101","134","2","142","142","284","0","0","2","284"
"138,103","138","103","2","141","141","282","0","0","2","282"
"141,90","141","90","2","140","139","279","0","0","2","279"
"69,119","69","119","2","128","127","255","0","0","2","255"
"108,141","108","141","2","127","127","254","1","230","1","24"
"131,126","131","126","2","126","126","253","1","109","1","144"
"75,133","75","133","2","116","116","232","1","184","1","48"
"111,112","111","112","2","108","108","217","0","0","2","217"
"166,72","166","72","2","108","108","217","1","30","1","187"
"118,152","118","152","2","107","107","214","1","197","1","17"
"142,90","142","90","2","106","105","211","1","36","1","175"
"114,159","114","159","2","96","95","191","1","174","1","17"
"162,159","162","159","2","94","94","189","2","189","0","0"
"98,90","98","90","2","90","90","181","0","0","2","181"
"125,137","125","137","2","76","76","153","0","0","2","153"
"180,96","180","96","2","76","75","151","2","151","0","0"
"136,186","136","186","2","74","73","147","0","0","2","147"
"165,72","165","72","2","74","74","148","1","106","1","42"
"180,104","180","104","2","74","74","148","2","148","0","0"
"80,166","80","166","2","69","69","138","0","0","2","138"
"145,120","145","120","2","69","69","138","1","35","1","103"
"150,90","150","90","2","69","69","138","1","34","1","104"
"99,88","99","88","2","68","67","135","0","0","2","135"
"86,117","86","117","2","64","64","128","2","128","0","0"
"169,150","169","150","2","60","59","119","2","119","0","0"
"116,67","116","67","2","55","55","110","2","110","0","0"
"135,124","135","124","2","54","54","109","2","109","0","0"
"166,151","166","151","2","42","42","85","2","85","0","0"
"188,133","188","133","2","39","39","78","1","64","1","14"
"98,89","98","89","2","39","39","78","0","0","2","78"
"93,98","93","98","2","36","35","71","0","0","2","71"
"90,94","90","94","2","34","33","67","0","0","2","67"
"145,146","145","146","2","34","33","67","0","0","2","67"
"175,148","175","148","2","34","34","69","2","69","0","0"
"154,160","154","160","2","29","29","58","1","14","1","44"
"180,148","180","148","2","28","28","56","1","41","1","15"
"146,136","146","136","2","20","20","40","0","0","2","40"
"132,115","132","115","2","16","16","33","1","19","1","14"
"136,124","136","124","2","16","16","33","1","17","1","16"
"130,184","130","184","1","360","360","360","0","0","1","360"
"87,155","87","155","1","360","360","360","0","0","1","360"
"130,104","130","104","1","360","360","360","0","0","1","360"
"80,172","80","172","1","360","360","360","1","360","0","0"
"135,171","135","171","1","360","360","360","1","360","0","0"
"142,133","142","133","1","360","360","360","1","360","0","0"
"185,120","185","120","1","360","360","360","1","360","0","0"
"142,101","142","101","1","360","360","360","1","360","0","0"
"177,108","177","108","1","360","360","360","0","0","1","360"
"122,66","122","66","1","360","360","360","0","0","1","360"
"154,78","154","78","1","360","360","360","0","0","1","360"
"158,124","158","124","1","360","360","360","0","0","1","360"
"94,170","94","170","1","360","360","360","1","360","0","0"
"126,188","126","188","1","360","360","360","1","360","0","0"
