"spot","x","y","count","avgSeconds","medianSeconds","totalSeconds","radiantCount","radiantTotal","direCount","direTotal"
"94,120","94","120","102","240","299","24510","52","14366","50","10144"
"118,94","118","94","88","244","360","21488","48","12548","40","8940"
"136,156","136","156","76","235","272","17883","32","5971","44","11912"
"164,134","164","134","70","230","269","16086","43","9427","27","6659"
"144,62","144","62","40","325","360","13004","14","4394","26","8610"
"116,142","116","142","37","299","360","11072","15","4014","22","7058"
"134,112","134","112","34","310","360","10533","24","7516","10","3017"
"116,144","116","144","34","262","360","8903","13","3775","21","5128"
"66,142","66","142","32","298","360","9523","18","5548","14","3975"
"152,96","152","96","22","336","360","7400","16","5240","6","2160"
"136,108","136","108","22","334","360","7354","16","5229","6","2125"
"188,116","188","116","22","287","360","6318","16","4158","6","2160"
"174,72","174","72","20","277","360","5547","12","4080","8","1467"
"142,102","142","102","20","220","360","4399","10","2996","10","1403"
"64,178","64","178","17","307","360","5213","6","1664","11","3549"
"126,108","126","108","17","284","360","4830","1","62","16","4768"
"108,145","108","145","17","271","360","4608","7","1382","10","3226"
"193,80","193","80","17","267","360","4532","11","3258","6","1274"
"118,188","118","188","16","360","360","5760","8","2880","8","2880"
"104,132","104","132","16","257","341","4112","11","3375","5","737"
"100,136","100","136","14","187","110","2622","9","1695","5","927"
"144,120","144","120","12","295","360","3540","3","827","9","2713"
"124,130","124","130","12","182","173","2181","3","429","9","1752"
"142,74","142","74","11","320","360","3522","0","0","11","3522"
"150,116","150","116","11","273","360","3000","4","509","7","2491"
"129,110","129","110","11","256","249","2813","9","2268","2","545"
"103,133","103","133","11","227","255","2497","9","2216","2","281"
"74,180","74","180","10","345","360","3451","4","1395","6","2056"
"162,102","162","102","10","330","360","3302","6","1862","4","1440"
"90,146","90","146","10","329","360","3289","4","1440","6","1849"
"128,146","128","146","10","328","360","3281","9","3042","1","239"
"65,178","65","178","10","324","360","3243","3","949","7","2294"
"138,124","138","124","10","307","360","3070","1","45","9","3025"
"112,130","112","130","10","211","204","2109","8","1528","2","581"
"146,98","146","98","9","353","360","3180","4","1380","5","1800"
"88,132","88","132","9","335","360","3014","2","720","7","2294"
"144,100","144","100","9","326","360","2936","6","2160","3","776"
"107,170","107","170","9","301","360","2707","3","834","6","1873"
"168,125","168","125","9","274","360","2464","7","1923","2","541"
"134,114","134","114","9","263","360","2364","5","1304","4","1060"
"178,74","178","74","8","360","360","2880","8","2880","0","0"
"146,84","146","84","8","326","360","2610","3","1080","5","1530"
"163,113","163","113","8","289","360","2314","4","1134","4","1180"
"160,120","160","120","8","227","271","1815","3","318","5","1497"
"106,120","106","120","8","203","224","1623","0","0","8","1623"
"145,84","145","84","7","317","360","2218","4","1153","3","1065"
"125,146","125","146","7","302","360","2112","1","360","6","1752"
"114,130","114","130","7","230","160","1607","3","1080","4","527"
"126,120","126","120","7","223","288","1560","4","845","3","715"
"101,135","101","135","7","190","136","1331","3","586","4","745"
"96,154","96","154","6","360","360","2160","3","1080","3","1080"
"144,72","144","72","6","360","360","2160","1","360","5","1800"
"145,120","145","120","6","360","360","2160","1","360","5","1800"
"110,130","110","130","6","339","360","2032","6","2032","0","0"
"80,186","80","186","6","327","360","1960","3","1080","3","880"
"102,134","102","134","6","324","360","1947","5","1800","1","147"
"155,74","155","74","6","318","360","1911","1","360","5","1551"
"168,105","168","105","6","283","354","1696","3","628","3","1068"
"192,80","192","80","6","269","302","1616","3","651","3","965"
"137,124","137","124","6","259","360","1552","0","0","6","1552"
"120,138","120","138","6","254","360","1527","0","0","6","1527"
"132,96","132","96","6","246","262","1479","2","513","4","966"
"113,151","113","151","6","234","296","1406","3","782","3","624"
"141,90","141","90","6","218","227","1311","2","452","4","859"
"148,118","148","118","6","208","229","1245","4","878","2","367"
"92,136","92","136","6","196","185","1174","0","0","6","1174"
"82,191","82","191","5","360","360","1800","4","1440","1","360"
"94,138","94","138","5","360","360","1800","4","1440","1","360"
"179,75","179","75","5","337","360","1685","5","1685","0","0"
"104,126","104","126","5","329","360","1647","2","567","3","1080"
"97,184","97","184","5","316","360","1580","2","720","3","860"
"154,74","154","74","5","295","360","1474","3","1080","2","394"
"102,159","102","159","5","293","360","1466","4","1106","1","360"
"124,131","124","131","5","260","240","1302","0","0","5","1302"
"114,150","114","150","5","260","301","1299","2","343","3","956"
"82,192","82","192","5","234","360","1170","4","1145","1","25"
"143,101","143","101","5","234","360","1170","4","810","1","360"
"144,122","144","122","5","199","225","997","0","0","5","997"
"141,147","141","147","5","190","202","948","4","941","1","7"
"86,102","86","102","5","182","137","911","0","0","5","911"
"103,132","103","132","5","175","128","875","4","854","1","21"
"98,138","98","138","5","174","136","871","4","735","1","136"
"152,89","152","89","5","173","75","865","4","857","1","8"
"151,129","151","129","5","162","106","808","3","224","2","584"
"126,164","126","164","4","360","360","1440","3","1080","1","360"
"103,158","103","158","4","360","360","1440","4","1440","0","0"
"89,146","89","146","4","360","360","1440","3","1080","1","360"
"86,150","86","150","4","360","360","1440","1","360","3","1080"
"185,66","185","66","4","360","360","1440","3","1080","1","360"
"136,86","136","86","4","360","360","1440","2","720","2","720"
"106,186","106","186","4","360","360","1440","4","1440","0","0"
"158,72","158","72","4","360","360","1440","2","720","2","720"
"74,190","74","190","4","360","360","1440","0","0","4","1440"
"76,191","76","191","4","350","360","1398","1","360","3","1038"
"185,65","185","65","4","340","360","1358","2","720","2","638"
"110,129","110","129","4","331","360","1324","3","964","1","360"
"128,110","128","110","4","317","346","1269","4","1269","0","0"
"191,132","191","132","4","306","360","1222","3","862","1","360"
"106,142","106","142","4","306","360","1223","4","1223","0","0"
"70,106","70","106","4","305","328","1219","0","0","4","1219"
"145,108","145","108","4","302","360","1210","4","1210","0","0"
"114,160","114","160","4","299","360","1197","1","360","3","837"
"127,110","127","110","4","282","327","1130","3","1015","1","115"
"127,164","127","164","4","282","360","1130","2","410","2","720"
"116,160","116","160","4","280","360","1119","2","720","2","399"
"90,154","90","154","4","279","360","1115","0","0","4","1115"
"125,139","125","139","4","258","274","1030","2","548","2","482"
"98,184","98","184","4","256","278","1025","2","720","2","305"
"128,98","128","98","4","252","296","1006","3","646","1","360"
"110,176","110","176","4","246","306","984","3","731","1","253"
"160,72","160","72","4","227","230","908","2","188","2","720"
"89,132","89","132","4","226","232","903","3","824","1","79"
"138,104","138","104","4","226","242","906","0","0","4","906"
"130,96","130","96","4","226","231","902","1","79","3","823"
"126,157","126","157","4","222","257","890","2","550","2","340"
"106,170","106","170","4","220","201","880","3","520","1","360"
"122,137","122","137","4","218","231","874","1","306","3","568"
"180,76","180","76","4","214","243","858","3","498","1","360"
"136,94","136","94","4","205","222","821","1","360","3","461"
"110,128","110","128","4","188","192","753","0","0","4","753"
"175,80","175","80","3","360","360","1080","2","720","1","360"
"96,184","96","184","3","360","360","1080","3","1080","0","0"
"168,107","168","107","3","360","360","1080","1","360","2","720"
"112,104","112","104","3","360","360","1080","1","360","2","720"
"180,67","180","67","3","360","360","1080","3","1080","0","0"
"131,96","131","96","3","360","360","1080","1","360","2","720"
"160,119","160","119","3","360","360","1080","0","0","3","1080"
"180,68","180","68","3","360","360","1080","1","360","2","720"
"115,149","115","149","3","360","360","1080","0","0","3","1080"
"72,154","72","154","3","360","360","1080","0","0","3","1080"
"142,88","142","88","3","360","360","1080","3","1080","0","0"
"147,134","147","134","3","360","360","1080","3","1080","0","0"
"127,138","127","138","3","360","360","1080","3","1080","0","0"
"91,154","91","154","3","360","360","1080","2","720","1","360"
"101,134","101","134","3","360","360","1080","2","720","1","360"
"110,177","110","177","3","360","360","1080","3","1080","0","0"
"75,190","75","190","3","360","360","1080","1","360","2","720"
"90,109","90","109","3","360","360","1080","0","0","3","1080"
"70,117","70","117","3","360","360","1080","2","720","1","360"
"114,68","114","68","3","360","360","1080","3","1080","0","0"
"73,154","73","154","3","359","360","1076","0","0","3","1076"
"94,184","94","184","3","340","360","1020","3","1020","0","0"
"166,110","166","110","3","338","360","1014","0","0","3","1014"
"159,72","159","72","3","330","360","990","2","630","1","360"
"92,143","92","143","3","304","360","913","0","0","3","913"
"153,66","153","66","3","301","360","903","1","360","2","543"
"128,100","128","100","3","289","360","867","1","360","2","507"
"184,66","184","66","3","286","360","858","1","360","2","498"
"136,140","136","140","3","278","360","835","2","720","1","115"
"97,155","97","155","3","278","360","834","1","114","2","720"
"152,72","152","72","3","277","360","831","1","360","2","471"
"130,131","130","131","3","271","296","814","0","0","3","814"
"150,128","150","128","3","269","360","807","2","447","1","360"
"120,139","120","139","3","267","360","800","2","440","1","360"
"110,182","110","182","3","263","360","788","3","788","0","0"
"119,139","119","139","3","262","360","786","1","360","2","426"
"108,184","108","184","3","260","360","780","2","420","1","360"
"180,97","180","97","3","260","360","780","3","780","0","0"
"109,144","109","144","3","260","360","780","0","0","3","780"
"123,158","123","158","3","259","347","778","0","0","3","778"
"170,89","170","89","3","256","360","769","2","409","1","360"
"110,141","110","141","3","256","360","768","0","0","3","768"
"152,92","152","92","3","254","360","762","0","0","3","762"
"105,170","105","170","3","252","360","755","3","755","0","0"
"102,133","102","133","3","251","360","753","0","0","3","753"
"94,183","94","183","3","249","360","748","2","388","1","360"
"87,185","87","185","3","243","339","729","2","390","1","339"
"158,124","158","124","3","239","279","717","0","0","3","717"
"122,136","122","136","3","237","323","710","2","350","1","360"
"85,116","85","116","3","234","318","703","1","59","2","644"
"114,129","114","129","3","228","228","683","2","455","1","228"
"116,188","116","188","3","213","246","638","1","246","2","392"
"105,119","105","119","3","209","196","627","0","0","3","627"
"110,165","110","165","3","207","209","620","2","411","1","209"
"113,130","113","130","3","206","149","618","2","509","1","109"
"136,126","136","126","3","196","162","589","1","162","2","427"
"118,126","118","126","3","189","133","568","2","493","1","75"
"87,115","87","115","3","187","110","561","2","470","1","91"
"148,117","148","117","3","185","121","555","2","434","1","121"
"151,128","151","128","3","182","110","546","1","76","2","470"
"86,116","86","116","3","180","123","540","0","0","3","540"
"116,121","116","121","3","178","160","535","2","520","1","15"
"129,118","129","118","3","175","117","524","1","360","2","164"
"126,90","126","90","3","157","74","470","1","360","2","110"
"140,91","140","91","3","154","94","462","1","8","2","454"
"134,76","134","76","3","151","73","453","2","93","1","360"
"130,118","130","118","3","147","206","442","2","236","1","206"
"113,152","113","152","3","128","17","384","2","367","1","17"
"85,103","85","103","3","108","115","324","0","0","3","324"
"136,125","136","125","3","101","73","303","0","0","3","303"
"108,99","108","99","3","90","79","270","1","79","2","191"
"110,142","110","142","3","68","50","205","0","0","3","205"
"121,137","121","137","3","64","12","191","2","17","1","174"
"90,134","90","134","3","51","43","154","1","93","2","61"
"143,73","143","73","2","360","360","720","0","0","2","720"
"86,151","86","151","2","360","360","720","0","0","2","720"
"103,178","103","178","2","360","360","720","0","0","2","720"
"184,80","184","80","2","360","360","720","2","720","0","0"
"174,90","174","90","2","360","360","720","1","360","1","360"
"152,111","152","111","2","360","360","720","2","720","0","0"
"99,157","99","157","2","360","360","720","2","720","0","0"
"119,106","119","106","2","360","360","720","1","360","1","360"
"124,146","124","146","2","360","360","720","0","0","2","720"
"172,88","172","88","2","360","360","720","2","720","0","0"
"112,105","112","105","2","360","360","720","0","0","2","720"
"93,144","93","144","2","360","360","720","0","0","2","720"
"93,163","93","163","2","360","360","720","1","360","1","360"
"112,163","112","163","2","360","360","720","1","360","1","360"
"110,168","110","168","2","360","360","720","2","720","0","0"
"110,183","110","183","2","360","360","720","1","360","1","360"
"133,72","133","72","2","360","360","720","0","0","2","720"
"112,152","112","152","2","360","360","720","2","720","0","0"
"157,109","157","109","2","360","360","720","0","0","2","720"
"92,165","92","165","2","360","360","720","2","720","0","0"
"90,132","90","132","2","360","360","720","2","720","0","0"
"194,80","194","80","2","360","360","720","1","360","1","360"
"110,156","110","156","2","360","360","720","0","0","2","720"
"126,152","126","152","2","360","360","720","1","360","1","360"
"127,137","127","137","2","360","360","720","2","720","0","0"
"174,118","174","118","2","360","360","720","2","720","0","0"
"116,159","116","159","2","360","360","720","1","360","1","360"
"121,112","121","112","2","360","360","720","1","360","1","360"
"75,191","75","191","2","360","360","720","1","360","1","360"
"146,88","146","88","2","360","360","720","2","720","0","0"
"118,177","118","177","2","360","360","720","2","720","0","0"
"90,133","90","133","2","360","360","720","1","360","1","360"
"167,109","167","109","2","360","360","720","0","0","2","720"
"69,184","69","184","2","360","360","720","1","360","1","360"
"113,163","113","163","2","360","360","720","1","360","1","360"
"122,66","122","66","2","360","360","720","0","0","2","720"
"147,84","147","84","2","360","360","720","0","0","2","720"
"179,96","179","96","2","360","360","720","2","720","0","0"
"109,119","109","119","2","360","360","720","0","0","2","720"
"168,108","168","108","2","360","360","720","0","0","2","720"
"137,126","137","126","2","360","360","720","0","0","2","720"
"134,80","134","80","2","360","360","720","1","360","1","360"
"161,85","161","85","2","360","360","720","1","360","1","360"
"110,166","110","166","2","360","360","720","1","360","1","360"
"119,122","119","122","2","360","360","720","2","720","0","0"
"186,68","186","68","2","360","360","720","2","720","0","0"
"137,138","137","138","2","360","360","720","0","0","2","720"
"114,161","114","161","2","360","360","720","0","0","2","720"
"192,132","192","132","2","360","360","720","1","360","1","360"
"131,110","131","110","2","360","360","720","2","720","0","0"
"82,190","82","190","2","360","360","720","1","360","1","360"
"170,90","170","90","2","360","360","720","2","720","0","0"
"186,65","186","65","2","360","360","720","2","720","0","0"
"77,160","77","160","2","360","360","720","0","0","2","720"
"134,84","134","84","2","360","360","720","2","720","0","0"
"131,186","131","186","2","360","360","720","0","0","2","720"
"156,108","156","108","2","360","360","720","2","720","0","0"
"70,132","70","132","2","360","360","720","1","360","1","360"
"115,78","115","78","2","360","360","720","1","360","1","360"
"97,156","97","156","2","360","360","720","2","720","0","0"
"164,72","164","72","2","360","360","720","1","360","1","360"
"108,142","108","142","2","360","360","720","1","360","1","360"
"116,124","116","124","2","360","360","720","1","360","1","360"
"170,91","170","91","2","360","360","720","0","0","2","720"
"94,161","94","161","2","360","360","720","1","360","1","360"
"167,72","167","72","2","360","360","720","1","360","1","360"
"150,79","150","79","2","360","360","720","0","0","2","720"
"146,111","146","111","2","360","360","720","2","720","0","0"
"110,140","110","140","2","360","360","720","2","720","0","0"
"82,175","82","175","2","360","360","720","1","360","1","360"
"91,135","91","135","2","340","340","680","1","320","1","360"
"110,112","110","112","2","338","338","677","0","0","2","677"
"188,132","188","132","2","332","331","663","1","360","1","303"
"110,174","110","174","2","330","330","660","2","660","0","0"
"116,158","116","158","2","326","326","652","2","652","0","0"
"113,162","113","162","2","324","323","647","2","647","0","0"
"122,62","122","62","2","322","322","645","0","0","2","645"
"126,119","126","119","2","320","320","640","1","360","1","280"
"145,88","145","88","2","318","318","637","0","0","2","637"
"149,117","149","117","2","315","315","630","1","360","1","270"
"82,172","82","172","2","312","312","624","1","264","1","360"
"184,93","184","93","2","307","307","614","2","614","0","0"
"136,107","136","107","2","306","306","612","0","0","2","612"
"127,107","127","107","2","306","306","612","0","0","2","612"
"68,119","68","119","2","304","303","607","1","360","1","247"
"130,110","130","110","2","302","301","603","2","603","0","0"
"67,122","67","122","2","302","302","604","2","604","0","0"
"131,165","131","165","2","291","291","582","1","222","1","360"
"105,142","105","142","2","290","290","581","2","581","0","0"
"118,140","118","140","2","289","289","578","1","360","1","218"
"116,126","116","126","2","288","287","575","0","0","2","575"
"159,119","159","119","2","286","285","571","2","571","0","0"
"66,178","66","178","2","285","285","570","1","210","1","360"
"116,68","116","68","2","282","282","564","0","0","2","564"
"69,116","69","116","2","281","281","562","2","562","0","0"
"108,130","108","130","2","276","275","551","2","551","0","0"
"161,78","161","78","2","272","272","545","0","0","2","545"
"130,130","130","130","2","272","272","544","0","0","2","544"
"119,125","119","125","2","270","269","539","1","360","1","179"
"155,131","155","131","2","268","268","537","1","177","1","360"
"129,126","129","126","2","266","266","533","0","0","2","533"
"104,125","104","125","2","265","265","530","0","0","2","530"
"153,73","153","73","2","262","261","523","1","360","1","163"
"94,141","94","141","2","262","262","525","1","165","1","360"
"168,126","168","126","2","262","261","523","2","523","0","0"
"109,98","109","98","2","261","261","522","0","0","2","522"
"91,163","91","163","2","256","255","511","1","275","1","236"
"131,146","131","146","2","254","253","507","2","507","0","0"
"99,87","99","87","2","251","251","502","0","0","2","502"
"92,135","92","135","2","250","249","499","0","0","2","499"
"91,145","91","145","2","245","245","490","1","130","1","360"
"76,136","76","136","2","244","243","487","0","0","2","487"
"136,185","136","185","2","242","242","485","2","485","0","0"
"69,117","69","117","2","240","239","479","2","479","0","0"
"152,128","152","128","2","240","240","481","0","0","2","481"
"91,134","91","134","2","236","236","472","1","360","1","112"
"76,150","76","150","2","235","235","470","2","470","0","0"
"129,185","129","185","2","234","234","469","2","469","0","0"
"120,137","120","137","2","232","232","465","0","0","2","465"
"124,158","124","158","2","230","230","461","0","0","2","461"
"134,131","134","131","2","230","230","461","1","101","1","360"
"109,130","109","130","2","226","225","451","1","360","1","91"
"104,118","104","118","2","224","224","449","0","0","2","449"
"70,154","70","154","2","222","222","445","0","0","2","445"
"132,144","132","144","2","222","222","445","2","445","0","0"
"168,106","168","106","2","220","220","440","0","0","2","440"
"191,80","191","80","2","218","218","436","2","436","0","0"
"166,72","166","72","2","216","216","432","1","360","1","72"
"82,134","82","134","2","214","214","428","0","0","2","428"
"86,149","86","149","2","208","207","415","2","415","0","0"
"102,160","102","160","2","208","207","415","0","0","2","415"
"117,159","117","159","2","208","207","415","2","415","0","0"
"137,94","137","94","2","206","206","412","2","412","0","0"
"148,111","148","111","2","204","204","409","0","0","2","409"
"188,108","188","108","2","204","204","408","2","408","0","0"
"118,114","118","114","2","203","203","406","1","360","1","46"
"118,175","118","175","2","202","202","404","1","111","1","293"
"100,87","100","87","2","202","201","403","0","0","2","403"
"128,164","128","164","2","198","197","395","0","0","2","395"
"142,134","142","134","2","197","197","394","1","111","1","283"
