"spot","x","y","count","avgSeconds","medianSeconds","totalSeconds","radiantCount","radiantTotal","direCount","direTotal"
"94,120","94","120","181","208","189","37683","89","20116","92","17567"
"164,134","164","134","139","203","193","28221","82","14841","57","13380"
"118,94","118","94","137","226","236","30895","70","16169","67","14726"
"136,156","136","156","134","194","182","26042","66","11800","68","14242"
"136,108","136","108","62","314","360","19463","58","18023","4","1440"
"134,112","134","112","53","309","360","16367","32","9977","21","6390"
"116,144","116","144","46","203","209","9339","12","2287","34","7052"
"152,96","152","96","44","310","360","13633","31","9308","13","4325"
"144,62","144","62","36","286","360","10304","23","6254","13","4050"
"116,142","116","142","33","280","360","9246","12","3331","21","5915"
"64,176","64","176","32","301","360","9646","16","4960","16","4686"
"144,122","144","122","29","334","360","9694","13","4527","16","5167"
"126,108","126","108","29","299","360","8678","0","0","29","8678"
"100,136","100","136","28","290","360","8132","23","6742","5","1390"
"193,82","193","82","26","329","360","8552","16","5399","10","3153"
"194,82","194","82","21","323","360","6773","13","4190","8","2583"
"114,130","114","130","21","240","276","5035","18","4294","3","741"
"174,72","174","72","20","314","360","6289","6","1483","14","4806"
"124,130","124","130","20","172","124","3436","1","181","19","3255"
"88,132","88","132","19","253","360","4807","7","1441","12","3366"
"125,146","125","146","18","270","360","4862","8","2298","10","2564"
"116,188","116","188","17","333","360","5658","8","2592","9","3066"
"90,146","90","146","17","245","333","4166","9","1720","8","2446"
"104,132","104","132","17","195","131","3313","9","1744","8","1569"
"142,102","142","102","16","289","360","4618","8","2606","8","2012"
"113,151","113","151","16","270","360","4319","6","1640","10","2679"
"114,150","114","150","16","202","178","3235","8","1523","8","1712"
"118,188","118","188","15","360","360","5400","7","2520","8","2880"
"110,130","110","130","15","282","360","4225","13","3505","2","720"
"63,176","63","176","14","360","360","5040","3","1080","11","3960"
"142,122","142","122","14","299","360","4187","2","720","12","3467"
"178,74","178","74","13","306","360","3975","9","2535","4","1440"
"138,124","138","124","13","268","360","3485","4","1210","9","2275"
"102,134","102","134","13","239","360","3103","7","1793","6","1310"
"150,116","150","116","13","226","277","2937","5","1013","8","1924"
"106,120","106","120","13","174","123","2257","0","0","13","2257"
"108,145","108","145","12","354","360","4250","6","2160","6","2090"
"99,157","99","157","12","291","360","3493","0","0","12","3493"
"146,98","146","98","12","264","360","3166","9","2425","3","741"
"184,80","184","80","11","322","360","3542","4","1368","7","2174"
"155,74","155","74","11","300","360","3305","3","1080","8","2225"
"144,72","144","72","11","283","360","3117","2","720","9","2397"
"154,74","154","74","11","259","317","2854","1","217","10","2637"
"129,110","129","110","11","241","344","2655","6","1525","5","1130"
"70,154","70","154","10","360","360","3600","0","0","10","3600"
"76,192","76","192","10","356","360","3562","3","1042","7","2520"
"162,102","162","102","10","345","360","3446","7","2366","3","1080"
"128,146","128","146","10","325","360","3253","7","2341","3","912"
"67,126","67","126","10","281","360","2811","5","1011","5","1800"
"115,149","115","149","10","272","360","2720","4","862","6","1858"
"180,67","180","67","10","243","252","2431","4","563","6","1868"
"103,133","103","133","10","227","235","2266","4","1191","6","1075"
"91,154","91","154","9","311","360","2802","0","0","9","2802"
"146,84","146","84","9","300","311","2699","6","1844","3","855"
"126,120","126","120","9","289","355","2605","5","1541","4","1064"
"124,146","124","146","9","255","360","2295","7","1878","2","417"
"75,192","75","192","9","239","309","2148","3","1029","6","1119"
"98,138","98","138","9","193","126","1741","7","1299","2","442"
"94,138","94","138","8","351","360","2806","4","1440","4","1366"
"82,191","82","191","8","339","360","2709","4","1324","4","1385"
"70,128","70","128","8","327","360","2615","6","1895","2","720"
"160,120","160","120","8","316","360","2524","3","949","5","1575"
"74,180","74","180","8","312","360","2500","0","0","8","2500"
"158,72","158","72","8","307","360","2456","6","2063","2","393"
"82,192","82","192","8","300","360","2396","8","2396","0","0"
"89,133","89","133","8","294","360","2349","6","2101","2","248"
"72,154","72","154","8","288","360","2303","0","0","8","2303"
"141,90","141","90","8","285","360","2280","4","1440","4","840"
"118,126","118","126","8","260","360","2080","7","1720","1","360"
"130,110","130","110","8","236","335","1884","4","1077","4","807"
"119,139","119","139","8","202","216","1617","2","410","6","1207"
"128,110","128","110","8","200","194","1601","5","1201","3","400"
"138,104","138","104","8","188","156","1508","3","902","5","606"
"179,75","179","75","7","324","360","2266","5","1546","2","720"
"107,184","107","184","7","318","360","2229","7","2229","0","0"
"96,184","96","184","7","318","360","2224","4","1151","3","1073"
"113,130","113","130","7","311","360","2177","5","1457","2","720"
"134,114","134","114","7","250","360","1749","5","1224","2","525"
"168,125","168","125","7","249","360","1742","7","1742","0","0"
"110,166","110","166","7","213","167","1489","3","676","4","813"
"128,98","128","98","7","209","318","1466","5","1093","2","373"
"90,133","90","133","7","200","176","1403","4","799","3","604"
"124,132","124","132","7","200","141","1397","1","360","6","1037"
"97,184","97","184","7","197","125","1378","6","1253","1","125"
"170,90","170","90","7","195","203","1364","4","784","3","580"
"152,167","152","167","7","94","44","661","5","142","2","519"
"94,184","94","184","6","360","360","2160","5","1800","1","360"
"166,110","166","110","6","353","360","2118","0","0","6","2118"
"142,74","142","74","6","305","360","1831","0","0","6","1831"
"134,80","134","80","6","283","360","1698","0","0","6","1698"
"97,155","97","155","6","281","360","1687","4","967","2","720"
"97,183","97","183","6","281","360","1684","4","1198","2","486"
"172,89","172","89","6","254","360","1524","5","1164","1","360"
"110,165","110","165","6","253","360","1520","2","80","4","1440"
"131,110","131","110","6","251","360","1508","1","360","5","1148"
"145,84","145","84","6","217","219","1304","3","366","3","938"
"127,137","127","137","6","203","245","1219","3","723","3","496"
"102,161","102","161","6","195","198","1169","2","396","4","773"
"148,118","148","118","6","179","149","1073","5","1014","1","59"
"98,184","98","184","5","360","360","1800","4","1440","1","360"
"126,89","126","89","5","360","360","1800","2","720","3","1080"
"71,154","71","154","5","360","360","1800","0","0","5","1800"
"94,142","94","142","5","360","360","1800","1","360","4","1440"
"110,156","110","156","5","343","360","1716","2","720","3","996"
"188,110","188","110","5","323","360","1616","3","1080","2","536"
"106,186","106","186","5","319","360","1595","5","1595","0","0"
"111,105","111","105","5","315","360","1573","0","0","5","1573"
"86,150","86","150","5","312","360","1559","2","508","3","1051"
"126,158","126","158","5","310","360","1548","3","828","2","720"
"108,184","108","184","5","309","360","1543","4","1183","1","360"
"118,186","118","186","5","302","360","1510","2","620","3","890"
"135,126","135","126","5","297","272","1486","2","720","3","766"
"151,116","151","116","5","296","360","1480","1","360","4","1120"
"82,167","82","167","5","296","360","1481","1","360","4","1121"
"145,120","145","120","5","294","360","1469","1","360","4","1109"
"192,82","192","82","5","293","360","1464","2","384","3","1080"
"73,154","73","154","5","292","360","1460","0","0","5","1460"
"147,119","147","119","5","290","360","1451","2","371","3","1080"
"108,144","108","144","5","282","360","1411","1","360","4","1051"
"129,126","129","126","5","282","360","1411","2","331","3","1080"
"117,127","117","127","5","280","304","1401","3","737","2","664"
"187,111","187","111","5","269","360","1345","4","1129","1","216"
"152,90","152","90","5","262","360","1310","2","548","3","762"
"137,104","137","104","5","249","360","1246","5","1246","0","0"
"89,132","89","132","5","245","226","1223","4","863","1","360"
"88,184","88","184","5","242","332","1211","3","491","2","720"
"70,142","70","142","5","240","360","1201","1","360","4","841"
"126,128","126","128","5","238","360","1190","4","1131","1","59"
"184,93","184","93","5","229","360","1146","4","786","1","360"
"123,158","123","158","5","224","360","1118","2","394","3","724"
"126,157","126","157","5","224","243","1122","2","424","3","698"
"75,191","75","191","5","223","289","1117","2","649","3","468"
"132,132","132","132","5","220","196","1102","2","186","3","916"
"127,110","127","110","5","217","311","1086","4","726","1","360"
"151,129","151","129","5","187","149","936","0","0","5","936"
"114,151","114","151","5","182","168","911","0","0","5","911"
"128,100","128","100","5","179","144","893","3","677","2","216"
"120,138","120","138","5","178","146","890","3","798","2","92"
"102,159","102","159","5","176","121","881","4","521","1","360"
"76,193","76","193","5","171","71","853","3","461","2","392"
"194,126","194","126","5","165","112","826","5","826","0","0"
"109,144","109","144","5","151","87","757","0","0","5","757"
"168,150","168","150","5","108","43","538","4","470","1","68"
"131,132","131","132","4","360","360","1440","0","0","4","1440"
"87,147","87","147","4","360","360","1440","4","1440","0","0"
"183,67","183","67","4","360","360","1440","4","1440","0","0"
"120,139","120","139","4","360","360","1440","1","360","3","1080"
"93,143","93","143","4","360","360","1440","3","1080","1","360"
"164,112","164","112","4","360","360","1440","2","720","2","720"
"186,112","186","112","4","360","360","1440","4","1440","0","0"
"103,132","103","132","4","356","360","1422","3","1062","1","360"
"65,176","65","176","4","348","360","1393","0","0","4","1393"
"108,162","108","162","4","338","360","1350","1","360","3","990"
"193,126","193","126","4","336","360","1345","1","265","3","1080"
"74,192","74","192","4","333","360","1331","1","360","3","971"
"108,143","108","143","4","332","360","1327","2","607","2","720"
"153,66","153","66","4","329","360","1315","1","360","3","955"
"126,146","126","146","4","328","331","1311","1","303","3","1008"
"119,120","119","120","4","321","360","1283","3","923","1","360"
"75,134","75","134","4","320","350","1278","1","217","3","1061"
"102,160","102","160","4","314","341","1256","4","1256","0","0"
"82,166","82","166","4","312","360","1246","1","360","3","886"
"116,148","116","148","4","306","360","1222","1","360","3","862"
"144,120","144","120","4","304","360","1214","0","0","4","1214"
"142,78","142","78","4","301","360","1204","2","484","2","720"
"130,118","130","118","4","297","336","1189","4","1189","0","0"
"184,66","184","66","4","292","360","1170","3","1080","1","90"
"170,106","170","106","4","291","315","1163","1","173","3","990"
"172,84","172","84","4","290","360","1161","1","81","3","1080"
"83,166","83","166","4","286","360","1146","1","360","3","786"
"86,140","86","140","4","282","360","1129","0","0","4","1129"
"130,126","130","126","4","280","360","1120","1","360","3","760"
"176,118","176","118","4","278","360","1114","3","754","1","360"
"75,190","75","190","4","278","360","1111","1","31","3","1080"
"106,188","106","188","4","276","360","1103","4","1103","0","0"
"107,142","107","142","4","276","360","1106","1","360","3","746"
"185,64","185","64","4","274","360","1097","3","737","1","360"
"92,143","92","143","4","274","360","1098","3","738","1","360"
"114,149","114","149","4","271","360","1085","2","365","2","720"
"84,166","84","166","4","268","270","1071","0","0","4","1071"
"115,148","115","148","4","264","274","1056","2","549","2","507"
"131,145","131","145","4","262","273","1049","4","1049","0","0"
"107,170","107","170","4","261","308","1043","1","360","3","683"
"104,126","104","126","4","259","335","1037","1","360","3","677"
"141,89","141","89","4","258","332","1034","2","369","2","665"
"90,134","90","134","4","255","302","1019","1","360","3","659"
"182,66","182","66","4","254","324","1015","2","367","2","648"
"126,154","126","154","4","251","291","1004","4","1004","0","0"
"119,140","119","140","4","245","281","979","1","360","3","619"
"73,180","73","180","4","239","269","956","2","539","2","417"
"116,149","116","149","4","237","287","948","1","360","3","588"
"136,94","136","94","4","235","262","940","1","360","3","580"
"191,136","191","136","4","233","237","932","2","474","2","458"
"121,137","121","137","4","233","258","931","2","415","2","516"
"99,156","99","156","4","222","245","889","0","0","4","889"
"126,138","126","138","4","218","227","874","3","814","1","60"
"117,126","117","126","4","202","182","806","4","806","0","0"
"118,124","118","124","4","200","215","800","3","791","1","9"
"168,107","168","107","4","194","195","774","2","383","2","391"
"188,133","188","133","4","192","196","768","1","360","3","408"
"141,147","141","147","4","191","198","763","3","727","1","36"
"184,92","184","92","4","190","190","759","4","759","0","0"
"92,144","92","144","4","189","191","756","2","720","2","36"
"101,134","101","134","4","179","144","715","2","526","2","189"
"134,171","134","171","4","172","159","688","3","679","1","9"
"162,124","162","124","4","162","116","650","1","58","3","592"
"177,148","177","148","4","148","94","590","1","77","3","513"
"85,103","85","103","4","118","46","470","0","0","4","470"
"129,97","129","97","4","101","108","403","1","113","3","290"
"193,81","193","81","3","360","360","1080","0","0","3","1080"
"109,130","109","130","3","360","360","1080","2","720","1","360"
"133,131","133","131","3","360","360","1080","1","360","2","720"
"116,168","116","168","3","360","360","1080","1","360","2","720"
"180,104","180","104","3","360","360","1080","3","1080","0","0"
"140,90","140","90","3","360","360","1080","3","1080","0","0"
"64,146","64","146","3","360","360","1080","1","360","2","720"
"168,126","168","126","3","360","360","1080","3","1080","0","0"
"78,167","78","167","3","360","360","1080","0","0","3","1080"
"158,122","158","122","3","360","360","1080","1","360","2","720"
"154,77","154","77","3","360","360","1080","1","360","2","720"
"126,90","126","90","3","360","360","1080","0","0","3","1080"
"98,157","98","157","3","360","360","1080","0","0","3","1080"
"109,183","109","183","3","360","360","1080","3","1080","0","0"
"134,132","134","132","3","360","360","1080","0","0","3","1080"
"110,174","110","174","3","360","360","1080","2","720","1","360"
"186,111","186","111","3","360","360","1080","3","1080","0","0"
"80,186","80","186","3","360","360","1080","1","360","2","720"
"181,77","181","77","3","360","360","1080","0","0","3","1080"
"168,106","168","106","3","360","360","1080","1","360","2","720"
"109,143","109","143","3","360","360","1080","0","0","3","1080"
"132,166","132","166","3","360","360","1080","2","720","1","360"
"112,130","112","130","3","360","360","1080","3","1080","0","0"
"80,172","80","172","3","360","360","1080","1","360","2","720"
"121,152","121","152","3","360","360","1080","0","0","3","1080"
"106,142","106","142","3","356","360","1068","3","1068","0","0"
"133,115","133","115","3","349","360","1047","3","1047","0","0"
"98,156","98","156","3","339","360","1018","1","298","2","720"
"169,89","169","89","3","339","360","1017","3","1017","0","0"
"90,145","90","145","3","328","360","983","3","983","0","0"
"76,149","76","149","3","326","360","978","0","0","3","978"
"174,80","174","80","3","325","360","974","1","254","2","720"
"137,124","137","124","3","323","320","968","1","360","2","608"
"126,152","126","152","3","317","360","952","2","592","1","360"
"152,79","152","79","3","313","360","938","1","360","2","578"
"167,72","167","72","3","311","360","933","1","360","2","573"
"96,154","96","154","3","306","360","919","2","559","1","360"
"144,100","144","100","3","305","360","915","2","555","1","360"
"128,101","128","101","3","305","360","916","2","556","1","360"
"130,96","130","96","3","305","360","914","3","914","0","0"
"196,124","196","124","3","304","360","912","3","912","0","0"
"92,166","92","166","3","301","360","904","1","360","2","544"
"127,128","127","128","3","298","360","894","2","534","1","360"
"142,91","142","91","3","297","360","891","3","891","0","0"
"136,124","136","124","3","296","340","888","1","188","2","700"
"176,66","176","66","3","291","360","874","1","154","2","720"
"71,142","71","142","3","289","360","868","0","0","3","868"
"180,75","180","75","3","289","360","866","2","720","1","146"
"91,134","91","134","3","288","360","864","2","720","1","144"
"114,159","114","159","3","288","274","863","2","589","1","274"
"120,111","120","111","3","278","313","834","0","0","3","834"
"115,150","115","150","3","274","360","821","2","461","1","360"
"120,123","120","123","3","274","360","823","2","463","1","360"
"117,125","117","125","3","273","360","820","2","460","1","360"
"72,133","72","133","3","272","360","816","0","0","3","816"
"163,113","163","113","3","271","360","813","2","453","1","360"
"181,66","181","66","3","271","360","813","2","720","1","93"
"118,119","118","119","3","270","360","809","3","809","0","0"
"66,176","66","176","3","269","360","806","3","806","0","0"
"169,90","169","90","3","269","360","807","2","720","1","87"
"180,97","180","97","3","268","360","804","3","804","0","0"
"86,151","86","151","3","265","360","794","2","720","1","74"
"139,124","139","124","3","265","360","794","1","74","2","720"
"143,101","143","101","3","263","326","788","2","686","1","102"
"110,142","110","142","3","263","360","788","2","428","1","360"
"129,98","129","98","3","260","360","780","2","720","1","60"
"152,91","152","91","3","258","360","774","0","0","3","774"
"89,110","89","110","3","257","360","772","0","0","3","772"
"171,90","171","90","3","257","360","772","0","0","3","772"
"76,191","76","191","3","254","360","761","1","360","2","401"
"176,89","176","89","3","253","360","760","2","400","1","360"
"133,126","133","126","3","248","360","744","1","360","2","384"
"132,126","132","126","3","248","360","745","0","0","3","745"
"171,89","171","89","3","245","360","736","2","376","1","360"
"144,138","144","138","3","244","225","732","1","360","2","372"
"108,140","108","140","3","244","360","733","2","373","1","360"
"92,165","92","165","3","244","360","731","2","371","1","360"
"152,89","152","89","3","244","360","731","2","720","1","11"
"75,131","75","131","3","242","360","727","1","360","2","367"
"103,134","103","134","3","237","270","712","1","270","2","442"
"139,91","139","91","3","237","237","710","2","473","1","237"
"158,98","158","98","3","232","294","695","2","335","1","360"
"81,133","81","133","3","223","218","669","1","218","2","451"
"119,124","119","124","3","222","248","665","3","665","0","0"
"105,162","105","162","3","214","209","641","3","641","0","0"
"129,118","129","118","3","203","172","608","2","436","1","172"
"125,138","125","138","3","203","246","610","1","4","2","606"
"100,135","100","135","3","199","157","596","0","0","3","596"
"142,89","142","89","3","199","218","597","2","578","1","19"
"112,164","112","164","3","195","203","585","2","225","1","360"
"132,110","132","110","3","195","149","584","1","75","2","509"
"111,112","111","112","3","194","215","583","1","8","2","575"
"68,119","68","119","3","188","161","565","1","44","2","521"
"152,129","152","129","3","188","220","564","1","4","2","560"
"146,134","146","134","3","183","164","550","3","550","0","0"
"90,132","90","132","3","170","87","509","1","360","2","149"
"108,141","108","141","3","162","117","485","1","360","2","125"
"159,124","159","124","3","162","122","487","1","122","2","365"
"74,181","74","181","3","162","97","485","1","360","2","125"
"151,128","151","128","3","161","98","482","3","482","0","0"
"92,163","92","163","3","160","84","481","1","37","2","444"
"106,170","106","170","3","154","96","461","2","101","1","360"
"141,102","141","102","3","153","71","459","2","388","1","71"
"162,114","162","114","3","149","66","447","1","360","2","87"
"168,108","168","108","3","149","70","447","1","17","2","430"
"159,119","159","119","3","147","41","441","3","441","0","0"
"91,145","91","145","3","143","35","428","1","360","2","68"
"180,103","180","103","3","141","113","424","3","424","0","0"
"123,146","123","146","3","131","16","392","3","392","0","0"
"113,152","113","152","3","131","23","394","1","360","2","34"
"121,139","121","139","3","121","71","362","0","0","3","362"
"102,68","102","68","3","118","33","355","2","322","1","33"
"85,116","85","116","3","105","34","314","2","55","1","259"
"117,119","117","119","3","95","125","284","3","284","0","0"
"100,88","100","88","3","94","53","283","0","0","3","283"
"170,149","170","149","3","33","20","100","3","100","0","0"
"121,110","121","110","2","360","360","720","0","0","2","720"
"161,95","161","95","2","360","360","720","2","720","0","0"
"184,65","184","65","2","360","360","720","2","720","0","0"
"115,129","115","129","2","360","360","720","1","360","1","360"
"110,164","110","164","2","360","360","720","1","360","1","360"
"63,146","63","146","2","360","360","720","0","0","2","720"
"152,92","152","92","2","360","360","720","1","360","1","360"
"125,65","125","65","2","360","360","720","0","0","2","720"
"122,122","122","122","2","360","360","720","1","360","1","360"
"81,175","81","175","2","360","360","720","0","0","2","720"
"132,185","132","185","2","360","360","720","2","720","0","0"
"72,182","72","182","2","360","360","720","1","360","1","360"
"152,66","152","66","2","360","360","720","1","360","1","360"
"146,111","146","111","2","360","360","720","0","0","2","720"
"102,155","102","155","2","360","360","720","0","0","2","720"
"77,166","77","166","2","360","360","720","0","0","2","720"
"161,80","161","80","2","360","360","720","1","360","1","360"
"170,94","170","94","2","360","360","720","0","0","2","720"
"180,108","180","108","2","360","360","720","0","0","2","720"
"176,87","176","87","2","360","360","720","2","720","0","0"
"76,190","76","190","2","360","360","720","0","0","2","720"
"142,134","142","134","2","360","360","720","1","360","1","360"
"125,158","125","158","2","360","360","720","0","0","2","720"
"102,158","102","158","2","360","360","720","0","0","2","720"
"157,73","157","73","2","360","360","720","0","0","2","720"
"109,140","109","140","2","360","360","720","2","720","0","0"
"134,77","134","77","2","360","360","720","0","0","2","720"
"118,171","118","171","2","360","360","720","0","0","2","720"
"184,90","184","90","2","360","360","720","2","720","0","0"
"97,154","97","154","2","360","360","720","0","0","2","720"
"94,170","94","170","2","360","360","720","0","0","2","720"
"147,134","147","134","2","360","360","720","2","720","0","0"
"97,147","97","147","2","360","360","720","0","0","2","720"
"163,72","163","72","2","360","360","720","1","360","1","360"
"153,140","153","140","2","360","360","720","2","720","0","0"
"92,164","92","164","2","360","360","720","1","360","1","360"
"81,134","81","134","2","360","360","720","0","0","2","720"
"150,129","150","129","2","360","360","720","2","720","0","0"
"169,91","169","91","2","360","360","720","2","720","0","0"
"98,155","98","155","2","360","360","720","2","720","0","0"
"87,153","87","153","2","360","360","720","0","0","2","720"
"87,184","87","184","2","360","360","720","2","720","0","0"
"172,91","172","91","2","360","360","720","0","0","2","720"
"154,66","154","66","2","360","360","720","0","0","2","720"
"180,76","180","76","2","360","360","720","2","720","0","0"
"118,63","118","63","2","360","360","720","0","0","2","720"
"120,108","120","108","2","360","360","720","1","360","1","360"
"122,146","122","146","2","360","360","720","2","720","0","0"
"110,181","110","181","2","360","360","720","1","360","1","360"
"121,62","121","62","2","360","360","720","0","0","2","720"
"99,184","99","184","2","360","360","720","2","720","0","0"
"72,134","72","134","2","360","360","720","0","0","2","720"
"145,108","145","108","2","360","360","720","2","720","0","0"
"78,154","78","154","2","360","360","720","1","360","1","360"
"182,67","182","67","2","360","360","720","2","720","0","0"
"145,85","145","85","2","360","360","720","2","720","0","0"
"62,130","62","130","2","360","360","720","0","0","2","720"
"114,161","114","161","2","360","360","720","1","360","1","360"
"77,160","77","160","2","360","360","720","0","0","2","720"
"144,89","144","89","2","360","360","720","2","720","0","0"
"125,157","125","157","2","360","360","720","1","360","1","360"
"145,111","145","111","2","360","360","720","1","360","1","360"
"110,141","110","141","2","360","360","720","1","360","1","360"
"194,81","194","81","2","360","360","720","0","0","2","720"
"177,105","177","105","2","360","360","720","1","360","1","360"
"77,158","77","158","2","360","360","720","1","360","1","360"
"120,157","120","157","2","360","360","720","1","360","1","360"
"76,145","76","145","2","360","360","720","2","720","0","0"
"191,92","191","92","2","360","360","720","2","720","0","0"
"121,108","121","108","2","360","360","720","1","360","1","360"
"175,118","175","118","2","360","360","720","2","720","0","0"
"144,92","144","92","2","360","360","720","0","0","2","720"
"187,92","187","92","2","360","360","720","2","720","0","0"
"109,182","109","182","2","360","360","720","2","720","0","0"
"108,142","108","142","2","360","360","720","1","360","1","360"
"134,185","134","185","2","360","360","720","2","720","0","0"
"118,166","118","166","2","360","360","720","2","720","0","0"
"176,96","176","96","2","360","360","720","1","360","1","360"
"183,78","183","78","2","360","360","720","1","360","1","360"
"112,152","112","152","2","360","360","720","1","360","1","360"
"110,143","110","143","2","360","360","720","1","360","1","360"
"163,114","163","114","2","360","360","720","1","360","1","360"
"80,175","80","175","2","360","360","720","0","0","2","720"
"147,118","147","118","2","360","360","720","1","360","1","360"
"134,76","134","76","2","360","360","720","0","0","2","720"
"135,142","135","142","2","360","360","720","2","720","0","0"
"98,150","98","150","2","360","360","720","2","720","0","0"
"154,76","154","76","2","360","360","720","1","360","1","360"
"106,138","106","138","2","360","360","720","2","720","0","0"
"155,63","155","63","2","360","360","720","0","0","2","720"
"185,93","185","93","2","360","360","720","2","720","0","0"
"146,90","146","90","2","360","360","720","0","0","2","720"
"132,144","132","144","2","360","360","720","1","360","1","360"
"164,72","164","72","2","360","360","720","1","360","1","360"
"121,121","121","121","2","360","360","720","2","720","0","0"
"93,163","93","163","2","360","360","720","0","0","2","720"
"74,154","74","154","2","360","360","720","0","0","2","720"
"78,144","78","144","2","360","360","720","1","360","1","360"
"105,170","105","170","2","360","360","720","0","0","2","720"
"150,128","150","128","2","360","360","720","1","360","1","360"
"182,94","182","94","2","360","360","720","2","720","0","0"
"122,117","122","117","2","360","360","720","2","720","0","0"
"120,110","120","110","2","360","360","720","0","0","2","720"
"100,177","100","177","2","360","360","720","1","360","1","360"
"119,63","119","63","2","360","360","720","0","0","2","720"
"93,168","93","168","2","360","360","720","1","360","1","360"
"143,73","143","73","2","360","360","720","0","0","2","720"
"105,138","105","138","2","360","360","720","2","720","0","0"
"171,85","171","85","2","360","360","720","0","0","2","720"
"152,78","152","78","2","360","360","720","2","720","0","0"
"74,179","74","179","2","358","357","715","0","0","2","715"
"135,140","135","140","2","354","354","709","2","709","0","0"
"120,124","120","124","2","352","352","705","2","705","0","0"
"186,65","186","65","2","351","351","702","0","0","2","702"
"168,72","168","72","2","350","350","700","2","700","0","0"
"109,145","109","145","2","350","350","701","0","0","2","701"
"91,135","91","135","2","348","348","697","2","697","0","0"
"94,97","94","97","2","347","347","694","1","360","1","334"
"180,107","180","107","2","338","338","677","0","0","2","677"
"110,173","110","173","2","336","335","671","2","671","0","0"
"138,92","138","92","2","336","335","671","1","360","1","311"
"80,155","80","155","2","330","330","660","1","360","1","300"
"168,89","168","89","2","328","327","655","1","295","1","360"
"159,72","159","72","2","326","326","652","1","360","1","292"
"175,88","175","88","2","323","323","646","2","646","0","0"
"95,105","95","105","2","322","322","645","0","0","2","645"
"180,106","180","106","2","320","319","639","0","0","2","639"
"121,109","121","109","2","316","315","631","2","631","0","0"
"118,175","118","175","2","314","314","628","2","628","0","0"
"136,106","136","106","2","314","314","628","1","268","1","360"
"76,159","76","159","2","312","312","625","1","360","1","265"
"63,177","63","177","2","308","308","617","1","360","1","257"
"170,98","170","98","2","304","304","608","1","248","1","360"
"106,141","106","141","2","304","304","608","2","608","0","0"
"76,150","76","150","2","302","301","603","0","0","2","603"
"135,134","135","134","2","297","297","594","1","234","1","360"
"70,117","70","117","2","296","296","593","0","0","2","593"
"93,142","93","142","2","293","293","586","1","226","1","360"
"164,113","164","113","2","291","291","582","2","582","0","0"
"140,92","140","92","2","288","287","575","2","575","0","0"
"72,142","72","142","2","288","287","575","1","215","1","360"
"86,115","86","115","2","286","286","572","0","0","2","572"
"115,127","115","127","2","286","286","573","1","213","1","360"
"104,96","104","96","2","286","286","573","1","213","1","360"
"130,131","130","131","2","285","285","570","0","0","2","570"
"179,96","179","96","2","282","281","563","2","563","0","0"
"84,188","84","188","2","282","281","563","2","563","0","0"
"173,101","173","101","2","278","277","555","2","555","0","0"
"74,190","74","190","2","276","276","553","1","360","1","193"
"138,103","138","103","2","276","276","553","0","0","2","553"
"80,176","80","176","2","276","276","553","1","193","1","360"
"89,182","89","182","2","274","274","549","2","549","0","0"
"169,101","169","101","2","272","272","544","2","544","0","0"
"137,137","137","137","2","272","272","545","2","545","0","0"
"104,138","104","138","2","265","265","530","2","530","0","0"
"118,192","118","192","2","262","261","523","1","163","1","360"
"96,155","96","155","2","261","261","522","2","522","0","0"
"118,85","118","85","2","260","260","520","0","0","2","520"
"173,107","173","107","2","258","258","517","0","0","2","517"
"161,124","161","124","2","258","258","516","1","156","1","360"
"127,130","127","130","2","257","257","514","0","0","2","514"
"102,133","102","133","2","254","254","508","1","360","1","148"
"83,167","83","167","2","253","253","506","1","360","1","146"
"110,144","110","144","2","250","249","499","0","0","2","499"
"120,122","120","122","2","250","250","500","2","500","0","0"
"168,104","168","104","2","249","249","498","2","498","0","0"
"80,173","80","173","2","248","248","496","1","136","1","360"
"174,119","174","119","2","248","247","495","2","495","0","0"
"119,138","119","138","2","247","247","494","1","134","1","360"
"137,125","137","125","2","244","244","488","1","360","1","128"
"185,66","185","66","2","244","244","488","2","488","0","0"
"170,97","170","97","2","244","243","487","0","0","2","487"
"104,127","104","127","2","243","243","486","0","0","2","486"
"174,89","174","89","2","242","242","484","1","124","1","360"
"121,122","121","122","2","240","240","481","1","121","1","360"
"130,165","130","165","2","238","238","476","1","360","1","116"
"169,98","169","98","2","238","238","477","0","0","2","477"
"102,135","102","135","2","237","237","474","1","360","1","114"
"84,187","84","187","2","232","232","464","1","104","1","360"
"128,131","128","131","2","231","231","462","1","102","1","360"
"81,156","81","156","2","228","228","456","2","456","0","0"
"95,138","95","138","2","226","226","452","1","92","1","360"
"104,125","104","125","2","226","226","453","0","0","2","453"
"78,166","78","166","2","226","226","453","2","453","0","0"
"174,118","174","118","2","226","225","451","2","451","0","0"
"115,120","115","120","2","225","225","450","1","90","1","360"
"84,103","84","103","2","224","223","447","0","0","2","447"
"98,147","98","147","2","222","221","443","0","0","2","443"
"116,116","116","116","2","222","222","445","0","0","2","445"
"188,134","188","134","2","222","221","443","2","443","0","0"
"145,143","145","143","2","221","221","442","2","442","0","0"
"111,111","111","111","2","218","218","436","0","0","2","436"
"117,73","117","73","2","216","216","432","0","0","2","432"
"80,174","80","174","2","214","213","427","2","427","0","0"
"76,160","76","160","2","214","214","429","0","0","2","429"
"84,150","84","150","2","213","213","426","1","360","1","66"
